"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95"
"1","0VIWnb","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LACTB","Wald ratio",1,0.107710201,0.02072334,2.02e-07,"Adult Cortex",0.0670924546,0.1483279474,1.11372494224018,1.06939434403055,1.15989321796193
"2","2ZJa6P","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PVR","Wald ratio",1,-0.167431907,0.035198753,1.97e-06,"Adult Cortex",-0.23642146288,-0.09844235112,0.845834210716878,0.789447880830295,0.906247935286862
"3","3IxE4L","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CEACAM19","Wald ratio",1,0.201518252,0.023396611,7.11e-18,"Adult Cortex",0.15566089444,0.24737560956,1.22325856377436,1.1684299148213,1.28066005060831
"4","7mAc76","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RITA1","Wald ratio",1,-0.148193426,0.032261209,4.36e-06,"Adult Cortex",-0.21142539564,-0.08496145636,0.8622643144735,0.809429665782397,0.918547687890568
"5","7ZUOgK","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CR1","Wald ratio",1,0.194553807,0.016264949,5.65e-33,"Adult Cortex",0.16267450696,0.22643310704,1.21476884419378,1.17665363478238,1.2541187153149
"6","aokP2C","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ACE","Wald ratio",1,-0.217484291,0.027104867,1.03e-15,"Adult Cortex",-0.27060983032,-0.16435875168,0.804540243343242,0.762914104294443,0.848437588865164
"7","AOqBRF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ATP8B3","Wald ratio",1,0.105878088,0.020369332,2.02e-07,"Adult Cortex",0.06595419728,0.14580197872,1.11168634033983,1.06817779059726,1.15696706126717
"8","b2eLeg","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","BTNL2","Wald ratio",1,0.084273212,0.018165863,3.5e-06,"Adult Cortex",0.04866812052,0.11987830348,1.08792608767078,1.04987186198747,1.12735964748503
"9","bGyvOH","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN31","Wald ratio",1,0.045729659,0.009394955,1.13e-06,"Adult Cortex",0.0273155472,0.0641437708,1.04679138207248,1.02769203694993,1.06624568273716
"10","BVvhhn","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTB-171A8.1","Wald ratio",1,0.078050141,0.010271884,3e-14,"Adult Cortex",0.05791724836,0.09818303364,1.08117686860037,1.05962730618474,1.10316468287833
"11","c1hrru","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","STAG3","Wald ratio",1,-0.11916903,0.019307874,6.74e-10,"Adult Cortex",-0.15701246304,-0.08132559696,0.887657747291514,0.854693406673191,0.921893476859273
"12","GwgGyF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF603P","Wald ratio",1,0.034514048,0.007589477,5.43e-06,"Adult Cortex",0.01963867308,0.04938942292,1.03511656959155,1.01983278040805,1.05062941025906
"13","jgqYPo","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EARS2","Wald ratio",1,-0.07784597,0.016580911,2.67e-06,"Adult Cortex",-0.11034455556,-0.04534738444,0.925106909787225,0.895525523834325,0.955665440859505
"14","jQHu2U","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SIGLEC11","Wald ratio",1,0.095525831,0.021090118,5.91e-06,"Adult Cortex",0.05418919972,0.13686246228,1.10023724189507,1.05568431843881,1.14667042723818
"15","jsRzd0","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","AC012146.7","Wald ratio",1,-0.13326277,0.022125364,1.71e-09,"Adult Cortex",-0.17662848344,-0.08989705656,0.875235076368459,0.838091091410829,0.914025273334155
"16","k3321j","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EGFR","Wald ratio",1,0.179379141,0.03003855,2.35e-09,"Adult Cortex",0.120503583,0.238254699,1.19647429064245,1.12806478281464,1.26903237294269
"17","L0yCqS","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LINC02210","Wald ratio",1,-0.087421161,0.015924301,4.02e-08,"Adult Cortex",-0.11863279096,-0.05620953104,0.916291108277994,0.888133871676602,0.945341036846567
"18","OkBk8U","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EPHX2","Wald ratio",1,0.239793802,0.044376103,6.53e-08,"Adult Cortex",0.15281664012,0.32677096388,1.27098704831249,1.16511132468285,1.38648388592208
"19","Q09F41","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","INO80E","Wald ratio",1,0.139109024,0.025772431,6.75e-08,"Adult Cortex",0.08859505924,0.18962298876,1.14924938893911,1.09263811302257,1.20879378289601
"20","slMtXu","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN26","Wald ratio",1,-0.096608371,0.018086499,9.22e-08,"Adult Cortex",-0.13205790904,-0.06115883296,0.907911500990903,0.876290248482993,0.940673817902873
"21","uLAXa4","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF192P2","Wald ratio",1,-0.062213404,0.013172736,2.33e-06,"Adult Cortex",-0.08803196656,-0.03639484144,0.939682333423723,0.915731603466199,0.964259488704263
"22","usbO7j","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NDUFAF6","Wald ratio",1,0.160753433,0.029260737,3.93e-08,"Adult Cortex",0.10340238848,0.21810447752,1.17439536596989,1.10893754300276,1.24371700129925
"23","ve8CvL","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF45","Wald ratio",1,-0.102151185,0.022872235,7.96e-06,"Adult Cortex",-0.1469807656,-0.0573216044,0.902893037465818,0.863310582517693,0.944290332601759
"24","vtaHEE","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ICA1L","Wald ratio",1,0.230906646,0.045498847,3.87e-07,"Adult Cortex",0.14172890588,0.32008438612,1.25974163203944,1.1522642341335,1.37724397970815
"25","yjUadr","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KAT8","Wald ratio",1,-0.08586402,0.01821358,2.43e-06,"Adult Cortex",-0.1215626368,-0.0501654032,0.917719014167513,0.885535584496391,0.951072101121221
"26","YQmxQZ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-DRB1","Wald ratio",1,0.082053162,0.018040057,5.41e-06,"Adult Cortex",0.04669465028,0.11741167372,1.08551351636519,1.04780201417532,1.12458229538617
"27","zyCR3o","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","GALNT6","Wald ratio",1,-0.091977145,0.020733457,9.16e-06,"Adult Cortex",-0.13261472072,-0.05133956928,0.912125995946505,0.875802455654543,0.949956039869306
"28","gt8qPZ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KNOP1","Inverse variance weighted",2,-0.045187441,0.010593426,1.99e-05,"Artery - Aorta",-0.06595055596,-0.02442432604,0.955818305502128,0.936177151527823,0.975871534187733
"29","5UdzFf","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","FAM117B","Wald ratio",1,0.198343169,0.040600447,1.03e-06,"Artery - Aorta",0.11876629288,0.27792004512,1.21938077571111,1.12610670837691,1.32038062211433
"30","6fmh2O","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTB-171A8.1","Wald ratio",1,0.084061423,0.011063006,3e-14,"Artery - Aorta",0.06237793124,0.10574491476,1.08769570129011,1.06436452532981,1.11153830332553
"31","7b2cIS","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","MAPK8IP1P2","Wald ratio",1,-0.045726116,0.008471001,6.74e-08,"Artery - Aorta",-0.06232927796,-0.02912295404,0.955303568726774,0.939573455018815,0.971297032230265
"32","A2YnK9","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PRSS53","Wald ratio",1,0.260334721,0.056739619,4.47e-06,"Artery - Aorta",0.14912506776,0.37154437424,1.29736426906224,1.16081816105791,1.44997218608767
"33","A3VD94","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","AC012146.7","Wald ratio",1,-0.10458514,0.01756598,2.62e-09,"Artery - Aorta",-0.1390144608,-0.0701558192,0.900698108705316,0.870215444355766,0.932248546365343
"34","A6k2TO","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CEACAM19","Wald ratio",1,0.133140145,0.025800467,2.46e-07,"Artery - Aorta",0.08257122968,0.18370906032,1.14241009017468,1.08607603153211,1.2016661598653
"35","abbCSb","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CSTF1","Wald ratio",1,0.279494659,0.058526659,1.79e-06,"Artery - Aorta",0.16478240736,0.39420691064,1.32246134951,1.17913651936717,1.4832074083215
"36","aRqKf6","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","IGHGP","Wald ratio",1,-0.177901459,0.036885991,1.41e-06,"Artery - Aorta",-0.25019800136,-0.10560491664,0.837024900695748,0.778646594722443,0.899780065993182
"37","DMoo1C","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NBEAL1","Wald ratio",1,0.083402072,0.016515262,4.42e-07,"Artery - Aorta",0.05103215848,0.11577198552,1.08697876442426,1.05235673493207,1.12273984200383
"38","esv9D3","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","AC092066.1","Wald ratio",1,0.325722034,0.05045018,1.07e-10,"Artery - Aorta",0.2268396812,0.4246043868,1.38503032402153,1.25462871124668,1.52898541318493
"39","eZuVlU","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","BIN1","Wald ratio",1,0.370152363,0.03836512,5.01e-22,"Artery - Aorta",0.2949567278,0.4453479982,1.44795521265748,1.34306823991133,1.56103333811272
"40","GAVTWR","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTSH","Wald ratio",1,0.084304544,0.017635134,1.75e-06,"Artery - Aorta",0.04973968136,0.11886940664,1.08796017510497,1.05099746653096,1.12622283146061
"41","gf4b3s","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","APH1B","Wald ratio",1,0.321664521,0.033874405,2.19e-21,"Artery - Aorta",0.2552706872,0.3880583548,1.37942193123418,1.29081097959709,1.47411580351119
"42","GgxwXA","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","DOC2A","Wald ratio",1,0.233725599,0.035184499,3.08e-11,"Artery - Aorta",0.16476398096,0.30268721704,1.26329779446475,1.17911479232618,1.35349104929049
"43","gseJRA","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A","Wald ratio",1,-0.08476951,0.016184727,1.63e-07,"Artery - Aorta",-0.11649157492,-0.05304744508,0.91872401669804,0.890037595583035,0.948335017584137
"44","gvQtsf","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","WNT3","Wald ratio",1,-0.080668476,0.016270712,7.13e-07,"Artery - Aorta",-0.11255907152,-0.04877788048,0.922499471469878,0.893544562514002,0.952392651204645
"45","i59hA5","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","GRN","Wald ratio",1,-0.215864627,0.030742331,2.19e-12,"Artery - Aorta",-0.27611959576,-0.15560965824,0.805844384061725,0.758722185378579,0.855893216039014
"46","imGP91","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","JAZF1-AS1","Wald ratio",1,0.138051499,0.029561963,3.01e-06,"Artery - Aorta",0.08011005152,0.19599294648,1.14803467138937,1.08340629162362,1.21651832456772
"47","iXxl3z","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ACE","Wald ratio",1,-0.375528447,0.048436901,8.98e-15,"Artery - Aorta",-0.47046477296,-0.28059212104,0.686926178781468,0.624711851622598,0.755336358466231
"48","l6txEl","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-2C24.7","Wald ratio",1,-0.194462936,0.038412432,4.14e-07,"Artery - Aorta",-0.26975130272,-0.11917456928,0.823276691618344,0.763569368350299,0.887652830320325
"49","lNZwP9","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZSCAN26","Wald ratio",1,-0.16503941,0.030618171,7.04e-08,"Artery - Aorta",-0.22505102516,-0.10502779484,0.847860289255481,0.79847547538103,0.900299498557983
"50","LXcCBr","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PLEKHA1","Wald ratio",1,0.156749646,0.034222969,4.64e-06,"Artery - Aorta",0.08967262676,0.22382666524,1.16970273748191,1.09381613895153,1.25085418412656
"51","M3LE1i","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-385F7.1","Wald ratio",1,-0.186718792,0.027538752,1.2e-11,"Artery - Aorta",-0.24069474592,-0.13274283808,0.82967701539805,0.786081544367142,0.875690257343472
"52","mj0dmJ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SNX31","Wald ratio",1,0.051166066,0.009282339,3.54e-08,"Artery - Aorta",0.03297268156,0.06935945044,1.05249766284804,1.03352230463858,1.0718214065907
"53","OfQ8Dv","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CPSF3","Wald ratio",1,0.332593522,0.068415368,1.17e-06,"Artery - Aorta",0.19849940072,0.46668764328,1.39458031702676,1.21957129654935,1.59470320935007
"54","OgA6n9","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-259G18.3","Wald ratio",1,-0.043568882,0.007965061,4.5e-08,"Artery - Aorta",-0.05918040156,-0.02795736244,0.957366606493103,0.942536718724464,0.972429827952475
"55","R27mzp","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LACTB","Wald ratio",1,0.136123781,0.027629084,8.36e-07,"Artery - Aorta",0.08197077636,0.19027678564,1.14582371602261,1.08542408932322,1.20958434690581
"56","Rc5brf","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SLC26A1","Wald ratio",1,-0.043573569,0.009100131,1.68e-06,"Artery - Aorta",-0.06140982576,-0.02573731224,0.957362119326334,0.940437745174947,0.9745910691308
"57","RoaKWp","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF603P","Wald ratio",1,0.041750043,0.008954144,3.12e-06,"Artery - Aorta",0.02419992076,0.05930016524,1.04263383255207,1.02449511526038,1.06109369638715
"58","rVm3UU","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EPHX2","Wald ratio",1,0.12729483,0.023519919,6.23e-08,"Artery - Aorta",0.08119578876,0.17339387124,1.1357518221336,1.08458322498506,1.18933445748025
"59","SnKhYJ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","IGHG3","Wald ratio",1,-0.213810179,0.042685811,5.47e-07,"Artery - Aorta",-0.29747436856,-0.13014598944,0.807501651246589,0.742691619232498,0.877967247617267
"60","TWpKGM","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A4P","Wald ratio",1,0.04203457,0.007876459,9.46e-08,"Artery - Aorta",0.02659671036,0.05747242964,1.04293053223607,1.02695355950779,1.05915606893807
"61","v6HlF0","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","IGHV2-70","Wald ratio",1,0.165378472,0.035352644,2.9e-06,"Artery - Aorta",0.09608728976,0.23466965424,1.17983957046323,1.10085515318223,1.26449098049544
"62","Wuhz1U","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","INO80E","Wald ratio",1,0.126247377,0.021084083,2.13e-09,"Artery - Aorta",0.08492257432,0.16757217968,1.13456279831224,1.08863277530238,1.18243063456964
"63","XheSEZ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NDUFS2","Wald ratio",1,-0.238838213,0.044782165,9.64e-08,"Artery - Aorta",-0.3266112564,-0.1510651696,0.787542286170124,0.721364114209493,0.859791664554503
"64","Z2DY5N","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-259G18.1","Wald ratio",1,-0.078183789,0.014098716,2.93e-08,"Artery - Aorta",-0.10581727236,-0.05055030564,0.9247944438775,0.89958901283576,0.950706101590459
"65","zMprWA","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CHRNE","Wald ratio",1,0.065325557,0.01274872,2.99e-07,"Artery - Aorta",0.0403380658,0.0903130482,1.06750650203352,1.04116269620246,1.09451686661489
"66","ZS2Ww6","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KAT8","Wald ratio",1,-0.088169485,0.018702618,2.43e-06,"Artery - Aorta",-0.12482661628,-0.05151235372,0.915605682143082,0.882649926445994,0.949791916426329
"67","ZtDAo0","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF165","Wald ratio",1,-0.103926759,0.022759686,4.96e-06,"Artery - Aorta",-0.14853574356,-0.05931777444,0.901291306480469,0.861969196772162,0.94240724863395
"68","1cYFJ5","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","TAP2","Wald ratio",1,0.259678922,0.043623311,2.64e-09,"Artery - Coronary",0.17417723244,0.34518061156,1.29651373779121,1.19026650096375,1.41224496440107
"69","1n8IJ6","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SLC26A1","Wald ratio",1,-0.043926241,0.00895379,9.3e-07,"Artery - Coronary",-0.0614756694,-0.0263768126,0.957024544043161,0.940375825369147,0.973968017033492
"70","1vCgpa","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","STX1B","Wald ratio",1,-0.125499433,0.027888763,6.8e-06,"Artery - Coronary",-0.18016140848,-0.07083745752,0.882056264552793,0.835135402595995,0.931613306558869
"71","2HBKoP","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LINC02210","Wald ratio",1,-0.041957893,0.007671406,4.52e-08,"Artery - Coronary",-0.05699384876,-0.02692193724,0.958910156552385,0.944599879809217,0.973437227755136
"72","3DXuSy","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTB-171A8.1","Wald ratio",1,0.079714882,0.011139995,8.32e-13,"Artery - Coronary",0.0578804918,0.1015492722,1.08297824706005,1.05958835864587,1.10688445568062
"73","59EOss","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","YPEL3","Wald ratio",1,-0.148450239,0.027232482,5e-08,"Artery - Coronary",-0.20182590372,-0.09507457428,0.862042902220097,0.817237193513192,0.909305121164988
"74","6acIkP","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-259G18.1","Wald ratio",1,-0.105674989,0.019763643,8.95e-08,"Artery - Coronary",-0.14441172928,-0.06693824872,0.899717018489446,0.865531310103143,0.935252952620598
"75","7a0yUM","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LACTB","Wald ratio",1,0.124928235,0.024924855,5.38e-07,"Artery - Coronary",0.0760755192,0.1737809508,1.133067135586,1.07904405962453,1.18979491364958
"76","8jRI0E","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CHRNE","Wald ratio",1,0.069340145,0.013512944,2.88e-07,"Artery - Coronary",0.04285477476,0.09582551524,1.07180071480658,1.04378629972727,1.10056701506817
"77","Bm1hFj","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-259G18.3","Wald ratio",1,-0.043143742,0.008019283,7.45e-08,"Artery - Coronary",-0.05886153668,-0.02742594732,0.957773707863594,0.942837308503391,0.972946729198592
"78","C9B0Ao","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NKAPL","Wald ratio",1,0.120150484,0.025636222,2.78e-06,"Artery - Coronary",0.06990348888,0.17039747912,1.12766653458256,1.07240467728316,1.18577607889496
"79","ckxV6g","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","C17orf107","Wald ratio",1,0.097472043,0.019186307,3.77e-07,"Artery - Coronary",0.05986688128,0.13507720472,1.10238062187747,1.0616952056312,1.14462515140441
"80","fv6Aif","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A4P","Wald ratio",1,0.042808023,0.008021389,9.46e-08,"Artery - Coronary",0.02708610056,0.05852994544,1.0437375020214,1.02745626351484,1.06027673567258
"81","GeiHqg","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-707O23.1","Wald ratio",1,-0.048262592,0.008940896,6.74e-08,"Artery - Coronary",-0.06578674816,-0.03073843584,0.952883534628672,0.936330517208329,0.969729186306558
"82","gI2lCc","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NBEAL1","Wald ratio",1,0.105607183,0.021085998,5.49e-07,"Artery - Coronary",0.06427862692,0.14693573908,1.11138521974118,1.06638948218881,1.15827952853015
"83","gNdtUd","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EARS2","Wald ratio",1,0.135340342,0.030307876,7.99e-06,"Artery - Coronary",0.07593690504,0.19474377896,1.14492638458447,1.07889449920444,1.21499963813355
"84","HY7psW","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KANSL1-AS1","Wald ratio",1,-0.045625661,0.008129663,2e-08,"Artery - Coronary",-0.06155980048,-0.02969152152,0.955399538567015,0.940296713863267,0.970744941289668
"85","It7EQA","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","KAT8","Wald ratio",1,-0.107811704,0.023497423,4.47e-06,"Artery - Coronary",-0.15386665308,-0.06175675492,0.897796632030197,0.857386343217149,0.940111536486906
"86","lJ6vLt","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-196G11.2","Wald ratio",1,-0.101607905,0.022699638,7.6e-06,"Artery - Coronary",-0.14609919548,-0.05711661452,0.903383694465211,0.864071986897884,0.944483922405022
"87","n3E7rX","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","WNT3","Wald ratio",1,-0.091877053,0.018453108,6.39e-07,"Artery - Coronary",-0.12804514468,-0.05570896132,0.912217297030869,0.879813659341971,0.945814364401523
"88","Ow09E1","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-E","Wald ratio",1,0.177392644,0.037668561,2.49e-06,"Artery - Coronary",0.10356226444,0.25122302356,1.19409985723675,1.10911484963018,1.28559677072963
"89","Ow3OIK","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EPHX2","Wald ratio",1,0.152998841,0.028049788,4.91e-08,"Artery - Coronary",0.09802125652,0.20797642548,1.16532362833187,1.10298623050819,1.2311841446315
"90","P0UEFu","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","IGHGP","Wald ratio",1,-0.172880658,0.035844981,1.41e-06,"Artery - Coronary",-0.24313682076,-0.10262449524,0.841238003880049,0.784164216487411,0.902465790063822
"91","PbPPBF","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A","Wald ratio",1,-0.072812646,0.013901847,1.63e-07,"Artery - Coronary",-0.10006026612,-0.04556502588,0.929775010775922,0.904782888638698,0.955457471089039
"92","PeaGyB","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CTSH","Wald ratio",1,0.107172245,0.023699879,6.12e-06,"Artery - Coronary",0.06072048216,0.15362400784,1.11312596835039,1.06260185649696,1.16605237779344
"93","TfuEfo","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","SCIMP","Wald ratio",1,0.269592773,0.038828936,3.84e-12,"Artery - Coronary",0.19348805844,0.34569748756,1.30943110644334,1.2134748956817,1.41297510861005
"94","UrO9RO","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-DRB9","Wald ratio",1,-0.072168272,0.016056577,6.97e-06,"Artery - Coronary",-0.10363916292,-0.04069738108,0.930374326689775,0.901550551604304,0.960119636356639
"95","vACmI3","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","INO80E","Wald ratio",1,0.141272104,0.023593305,2.13e-09,"Artery - Coronary",0.0950292262,0.1875149818,1.1517379978671,1.09969099444539,1.2062483210567
"96","vcwiGe","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PLD2","Wald ratio",1,0.190958501,0.039601236,1.42e-06,"Artery - Coronary",0.11334007844,0.26857692356,1.21040922026679,1.12001276038165,1.30810159699219
